tweet,label,tweet_clean,predicted_label,correct
lmaoooo money can make me cry like a baby like this e don tey wey i receive credit alert,negative,lmaoooo money can make me cry like a baby like this e don tey wey i receive credit alert,positive,False
i dont o but those that do una dey try i give una hand,positive,i dont o but those that do una dey try i give una hand,negative,False
even me if na me buy am go dey impressed,positive,even me if na me buy am go dey impressed,negative,False
e be like say na the wrong ch me i dey o,neutral,e be like say na the wrong ch me i dey o,negative,False
na who dey alive dey apply for visa,neutral,na who dey alive dey apply for visa,positive,False
lol na benin you dey o anyway im not aware of any ig account but i think you can find an errand service to pick it up for you,neutral,lol na benin you dey o anyway im not aware of any ig account but i think you can find an errand service to pick it up for you,positive,False
ray i greet una abeg why una never and no dey nack by abi una no like better tin,positive,ray i greet una abeg why una never and no dey nack by abi una no like better tin,negative,False
mixing and mastering is so damn stressfulyou fit just dey hear some kind breath underneat the recording who dey actually breeeett,negative,mixing and mastering is so damn stressfulyou fit just dey hear some kind breath underneat the recording who dey actually breeeett,positive,False
e no dey tey again like before just relax and enjoy the day dear,positive,e no dey tey again like before just relax and enjoy the day dear,negative,False
guy e dey shook me oh,negative,guy e dey shook me oh,positive,False
dey never dark reach where una dey ahbi,negative,dey never dark reach where una dey ahbi,neutral,False
make una con collect food idea for una wedding ohhh id be looking forward to it on the menu,positive,make una con collect food idea for una wedding ohhh id be looking forward to it on the menu,negative,False
ac and fan dey on im naked on bed chilling buh outside with tshirt and pant cold wan finish me,negative,ac and fan dey on im naked on bed chilling buh outside with tshirt and pant cold wan finish me,positive,False
una don die davido hand this year ah ludacris timbaland ah god im crying david no one like u,positive,una don die davido hand this year ah ludacris timbaland ah god im crying david no one like u,negative,False
i know say when you finish person go wan drink the picture,positive,i know say when you finish person go wan drink the picture,negative,False
after this whole valentine don go and e reach timemy nearest person to show love na i love ya,positive,after this whole valentine don go and e reach timemy nearest person to show love na i love ya,negative,False
omo i just remember when these guys dey push me that i must talk to this girl i like i dey hold door but these guys overpowered me and push me inside the class omo shyness don finish then i just say ya kike sunana khalyl ni classmate dinki ne ban number dinki‍️‍️,positive,omo i just remember when these guys dey push me that i must talk to this girl i like i dey hold door but these guys overpowered me and push me inside the class omo shyness don finish then i just say ya kike sunana khalyl ni classmate dinki ne ban number dinki️️,negative,False
e be like say the cement wey you wan use no go do i dey come make i buy extra add for you oya dab,positive,e be like say the cement wey you wan use no go do i dey come make i buy extra add for you oya dab,negative,False
na d work wey dem dey do na,positive,na d work wey dem dey do na,neutral,False
how she dey feel if she dey see this pikin,neutral,how she dey feel if she dey see this pikin,positive,False
brooo you get eye i know wetin i de talk,positive,brooo you get eye i know wetin i de talk,neutral,False
that guy na big time werey his nonsense is so hilarious,positive,that guy na big time werey his nonsense is so hilarious,negative,False
lmao i swear e be like person wey dey argue with google,positive,lmao i swear e be like person wey dey argue with google,negative,False
there is one guy on this app thats not fine but una dey always hype am and e dey headache me,positive,there is one guy on this app thats not fine but una dey always hype am and e dey headache me,negative,False
na here dem go see gf she don quickly like the tweet,positive,na here dem go see gf she don quickly like the tweet,negative,False
person wey i fine pass dey tell me you are kinda cute me kinda isinku e oni sorire oloriburuku somebody,negative,person wey i fine pass dey tell me you are kinda cute me kinda isinku e oni sorire oloriburuku somebody,positive,False
if i come pierce my tongue dem go dey ask weda i dey give for free,neutral,if i come pierce my tongue dem go dey ask weda i dey give for free,negative,False
my dear e fit be oooo cos that year i de confused,negative,my dear e fit be oooo cos that year i de confused,positive,False
brought out soups omo na block industry oh n light no dey sha had to collect meat from stew then add am small banana as i dey struggle to cut out soup,neutral,brought out soups omo na block industry oh n light no dey sha had to collect meat from stew then add am small banana as i dey struggle to cut out soup,negative,False
omo onifz sef don go uk sha just saw it on facebook all my guys dem don relocate finish,positive,omo onifz sef don go uk sha just saw it on facebook all my guys dem don relocate finish,negative,False
im stepping out tomorrow with my jack nife any body wey devil bless make e try rubbish,negative,im stepping out tomorrow with my jack nife any body wey devil bless make e try rubbish,positive,False
lol some women are so triggered that theyve begun red flags thread anew like ive seen over threads theyve started this morning but na woman own make men do that single one na now una don turn am to face of threads,positive,lol some women are so triggered that theyve begun red flags thread anew like ive seen over threads theyve started this morning but na woman own make men do that single one na now una don turn am to face of threads,negative,False
na this kana una say wan go house next how na,positive,na this kana una say wan go house next how na,negative,False
oga na question u de ask so wear bullet proof and carry ur ak sefeni,positive,oga na question u de ask so wear bullet proof and carry ur ak sefeni,neutral,False
guy if i sabi do this thing i no go dey waste my time dey do office work na to find better strip club dey display all the talent,positive,guy if i sabi do this thing i no go dey waste my time dey do office work na to find better strip club dey display all the talent,negative,False
you guys are not normal at allif una wan chop the money make una chop idiotsfoh,negative,you guys are not normal at allif una wan chop the money make una chop idiotsfoh,positive,False
no be boy dem just born wetin these rich kids dey chop,positive,no be boy dem just born wetin these rich kids dey chop,negative,False
we no fit dai,positive,we no fit dai,negative,False
u don finish work abeg let dem,positive,u don finish work abeg let dem,negative,False
see as una take fall my hands now now wey i think say una don get sense so all these quick response to tweet na just forming,negative,see as una take fall my hands now now wey i think say una don get sense so all these quick response to tweet na just forming,positive,False
na so e tk dey start o,negative,na so e tk dey start o,neutral,False
me wey dey edo state buh i dey enter lagos soon sha,positive,me wey dey edo state buh i dey enter lagos soon sha,neutral,False
dis goes show d level of maturity n intelligent of feminine folks i respect una seriously d wife in question knows her husband n she is happy with d beautiful things in life dat comes with it which i respect her for it take a look at baba wife nah see glowing now gives a,negative,dis goes show d level of maturity n intelligent of feminine folks i respect una seriously d wife in question knows her husband n she is happy with d beautiful things in life dat comes with it which i respect her for it take a look at baba wife nah see glowing now gives a,positive,False
if i no post review wetin i gain buy nirvana u no hear now my baby girlextraordinary presenterblaque beauty joyceiyakwari is giving it to them left and right in her double drawn fringe wig,positive,if i no post review wetin i gain buy nirvana u no hear now my baby girlextraordinary presenterblaque beauty joyceiyakwari is giving it to them left and right in her double drawn fringe wig,negative,False
good evening everyborry lasisi is hia again soum just happin rhy na soum pipo on twitter would just be posting delicious food and me im here am very very hungry im hungry ooo,negative,good evening everyborry lasisi is hia again soum just happin rhy na soum pipo on twitter would just be posting delicious food and me im here am very very hungry im hungry ooo,positive,False
wetin happen nàaa,negative,wetin happen nàaa,neutral,False
buhari don park his family and property for inside motor dey run ooo he don dey comot for asorock una dey see am,negative,buhari don park his family and property for inside motor dey run ooo he don dey comot for asorock una dey see am,neutral,False
dis was d day i broke d vow of not voting in ultimateloveng after seeing how cute they both look in dis outfit i ddnt kw wen i picked up my fone and gave them sms vote dis was hands down their best outfit,positive,dis was d day i broke d vow of not voting in ultimateloveng after seeing how cute they both look in dis outfit i ddnt kw wen i picked up my fone and gave them sms vote dis was hands down their best outfit,negative,False
its how people stay comfortable walking around petrol tanker making videos dey off me same road sometimes last year petrol tanker come spoil for road oil dey spill traffic dey omo i had to come down collect better run for my life,positive,its how people stay comfortable walking around petrol tanker making videos dey off me same road sometimes last year petrol tanker come spoil for road oil dey spill traffic dey omo i had to come down collect better run for my life,negative,False
barca yea sorry i dey vex for setien ni he cost them that game wish foolish tactics if he had set up the team properly they would ve offered more at least if they ll lose it wpnt be disgraceful like this the players didnt help themselves too thoall of them dey mad,neutral,barca yea sorry i dey vex for setien ni he cost them that game wish foolish tactics if he had set up the team properly they would ve offered more at least if they ll lose it wpnt be disgraceful like this the players didnt help themselves too thoall of them dey mad,negative,False
wetin carry me enter buycoins ooooo i don enter chance money don hook over hours now e ba mi gbowo mi,negative,wetin carry me enter buycoins ooooo i don enter chance money don hook over hours now e ba mi gbowo mi,positive,False
you thought you were sleek dey follow den wen dem follow u back u go come unfollow,negative,you thought you were sleek dey follow den wen dem follow u back u go come unfollow,positive,False
i neva see ugly gurls wey dey support na giraan dey chealshit,negative,i neva see ugly gurls wey dey support na giraan dey chealshit,neutral,False
i bin wan ask too but i no want chop block,neutral,i bin wan ask too but i no want chop block,negative,False
finally all of us don dey mad,positive,finally all of us don dey mad,negative,False
we dey here ooooplease na god i use beg una dont like or retweet ooo,negative,we dey here ooooplease na god i use beg una dont like or retweet ooo,positive,False
wetin i wan take beg you to followback na gtgtbeg me,positive,wetin i wan take beg you to followback na gtgtbeg me,negative,False
which kain boss how i go see k chop today like this shey space still dey for your site,neutral,which kain boss how i go see k chop today like this shey space still dey for your site,positive,False
guys today a girl fine girl wey fine reach meal on a hungry eve gave me her iphone pro to help her hold it till she finish drinking water i wanted to run but na for motor park we de i no i go chop beating sotey i go wish i die,negative,guys today a girl fine girl wey fine reach meal on a hungry eve gave me her iphone pro to help her hold it till she finish drinking water i wanted to run but na for motor park we de i no i go chop beating sotey i go wish i die,positive,False
na de gea saved u dat day bro,positive,na de gea saved u dat day bro,neutral,False
them don born me tey tey before warri crisis,positive,them don born me tey tey before warri crisis,neutral,False
i am really sorry i know i am a disappointment i know all the health benefits that u av alws bn preaching even me im not proud of this but tonight na me and dis ebaa oo,negative,i am really sorry i know i am a disappointment i know all the health benefits that u av alws bn preaching even me im not proud of this but tonight na me and dis ebaa oo,positive,False
as in ehhi na e propose mens anoro somewhere na e dispose it is well,negative,as in ehhi na e propose mens anoro somewhere na e dispose it is well,positive,False
is like want depression to catch me before he see me vbank i get vtarget i get betway sef i dey inside even video sef i do bikooooooo naaaaa,neutral,is like want depression to catch me before he see me vbank i get vtarget i get betway sef i dey inside even video sef i do bikooooooo naaaaa,negative,False
ag no sabi dance sha dey do like earthworm dey pour salt,negative,ag no sabi dance sha dey do like earthworm dey pour salt,positive,False
the rich mans joke is always funny if a celebrity tweets only an alphabet una go still like and retweet am your guy don tweet times today you never like but help me tell your guy e don do only him tweets today,negative,the rich mans joke is always funny if a celebrity tweets only an alphabet una go still like and retweet am your guy don tweet times today you never like but help me tell your guy e don do only him tweets today,positive,False
shori e gbálè ni ah wan tell security make dey pursue am just changed my mind not his fault i genuinely look like i follow my daddy to office,negative,shori e gbálè ni ah wan tell security make dey pursue am just changed my mind not his fault i genuinely look like i follow my daddy to office,positive,False
time tiri gbosa for the person wey born you i never want to try lose you try dem no born me well i no fit tire for your matter lai lai say i no do suddenly man calm down man down for only you,positive,time tiri gbosa for the person wey born you i never want to try lose you try dem no born me well i no fit tire for your matter lai lai say i no do suddenly man calm down man down for only you,negative,False
if chance dey u for join dem don jazzy dr sid and face list tiwa is really pretty tho,positive,if chance dey u for join dem don jazzy dr sid and face list tiwa is really pretty tho,negative,False
na your children go help you spend money but i fit kill am oo probably if i don reach,negative,na your children go help you spend money but i fit kill am oo probably if i don reach,positive,False
your weed is getting too much my baddest producer your face don dey change patapata,negative,your weed is getting too much my baddest producer your face don dey change patapata,positive,False
i dey vex o me wey need the most them say i dey rich,negative,i dey vex o me wey need the most them say i dey rich,neutral,False
when my pple decided to create with this shot i was forming abeg wetin una wan do they did it anyways and i love it how do you like your we got you covered service,positive,when my pple decided to create with this shot i was forming abeg wetin una wan do they did it anyways and i love it how do you like your we got you covered service,negative,False
no b una fault oo na rihanna no wan release musiceyin omo leyin iya beji no get respect rara,positive,no b una fault oo na rihanna no wan release musiceyin omo leyin iya beji no get respect rara,negative,False
food wey him don cook i don chop finish,positive,food wey him don cook i don chop finish,negative,False
rubbish everywhere and we don dey used to am,negative,rubbish everywhere and we don dey used to am,neutral,False
oluwa wetin dey occur gan gan na your boy don reach to enjoy government money too na,positive,oluwa wetin dey occur gan gan na your boy don reach to enjoy government money too na,neutral,False
today fasting no easy o e be like sey na in we dey do today,negative,today fasting no easy o e be like sey na in we dey do today,positive,False
i dey ooe don tey,positive,i dey ooe don tey,neutral,False
i hear my baby say i wanna be president i wan chop money from my government what he dont know what he wont know what he can knw,negative,i hear my baby say i wanna be president i wan chop money from my government what he dont know what he wont know what he can knw,positive,False
una dey busy this period naona una season be thisi wan come be apprentice oo,positive,una dey busy this period naona una season be thisi wan come be apprentice oo,negative,False
na you dey cheat na me dey beg make una check am o nwanne see as dey rush ‍️ one maltina per person at icons concert‍️‍️ success come be your hobby hobby o oya wait haters fvck you hold me before i killy person o arrest me yeah,negative,na you dey cheat na me dey beg make una check am o nwanne see as dey rush ️ one maltina per person at icons concert️️ success come be your hobby hobby o oya wait haters fvck you hold me before i killy person o arrest me yeah,positive,False
wetin dem dey offer cos arik na water,positive,wetin dem dey offer cos arik na water,neutral,False
you sef send me k if e easy,negative,you sef send me k if e easy,positive,False
gets paid £ naira a week bros abeg sir no cut soap for me na that k£wen dey on top make i dey collect every month,negative,gets paid £ naira a week bros abeg sir no cut soap for me na that k£wen dey on top make i dey collect every month,positive,False
why una dey take this thing seriously i was only joking na,positive,why una dey take this thing seriously i was only joking na,negative,False
wait oo make e no be say this gl dey one corner dey carry us catch better cruise with him bf oo,negative,wait oo make e no be say this gl dey one corner dey carry us catch better cruise with him bf oo,positive,False
the energy wey i put for love if i use am learn mechanic i for don sabi repair train,negative,the energy wey i put for love if i use am learn mechanic i for don sabi repair train,positive,False
abeg make una help me run this thing i have a cater on standby to cook some banging party rice na money we need epp us,negative,abeg make una help me run this thing i have a cater on standby to cook some banging party rice na money we need epp us,positive,False
tea is better all the arab princes i want to be in their network na tra dem dey drink right edmund no shayo abi,positive,tea is better all the arab princes i want to be in their network na tra dem dey drink right edmund no shayo abi,negative,False
its only shout out we would be receiving every time abeg jor dey go,negative,its only shout out we would be receiving every time abeg jor dey go,positive,False
god im done imagining how money would fit me just bless me with this moneyi already know it would fit me o god,negative,god im done imagining how money would fit me just bless me with this moneyi already know it would fit me o god,positive,False
the issue is that when youre in love these quotes are always missing na when ur eye don clear u dey see them,negative,the issue is that when youre in love these quotes are always missing na when ur eye don clear u dey see them,positive,False
lmaoi no know say no be by to first come school say you dey carry your seat comena so i siddon for person seat for the front seat,positive,lmaoi no know say no be by to first come school say you dey carry your seat comena so i siddon for person seat for the front seat,negative,False
walahi harmattan is here my lips don de gimme evidence,negative,walahi harmattan is here my lips don de gimme evidence,positive,False
ssgtruellyi concur absolutely wth lgladysabeg hlp me take bottle chilld star take beg joejoearmanimake e no near mozambque,positive,ssgtruellyi concur absolutely wth lgladysabeg hlp me take bottle chilld star take beg joejoearmanimake e no near mozambque,negative,False
i hope can still remember all his tracks he don sing too much song abeg that man na legend aswr,negative,i hope can still remember all his tracks he don sing too much song abeg that man na legend aswr,positive,False
akporsa beg tlk trueif wnjaarku na ur brodau go stll allw amdey speak engradiobc we im brodas wen write petitionbrila,negative,akporsa beg tlk trueif wnjaarku na ur brodau go stll allw amdey speak engradiobc we im brodas wen write petitionbrila,positive,False
wetin be my offence,negative,wetin be my offence,neutral,False
if na for money g et am plenty sending my fbn account whenever you see am another reason i go dey feel am and i go dey twale when he show for tv mavin,positive,if na for money g et am plenty sending my fbn account whenever you see am another reason i go dey feel am and i go dey twale when he show for tv mavin,neutral,False
bros he stole my glasses oo i give am motor make e sell e loot everything inside including this glasses,negative,bros he stole my glasses oo i give am motor make e sell e loot everything inside including this glasses,positive,False
but na true na nobody don invite me for turn up,negative,but na true na nobody don invite me for turn up,positive,False
na malt dem buy for me wey i dey smile like that so imagine if you squeeze the least k put for my hand,positive,na malt dem buy for me wey i dey smile like that so imagine if you squeeze the least k put for my hand,negative,False
e be like say na only me remain for this country oo‍️‍️ every body dey use welcome to a new week dispensation hei im happy for you all,positive,e be like say na only me remain for this country oo️️ every body dey use welcome to a new week dispensation hei im happy for you all,negative,False
theyre confident if they want to toast a lady theyll be like baby wetin be your name come i go give u anything u want in fact how much u go fit chop,positive,theyre confident if they want to toast a lady theyll be like baby wetin be your name come i go give u anything u want in fact how much u go fit chop,negative,False
una governor said him don do roads finish wan enter airport gon buy jet,neutral,una governor said him don do roads finish wan enter airport gon buy jet,negative,False
abi now i no dey put big money for game sef to save tears if e cut,neutral,abi now i no dey put big money for game sef to save tears if e cut,negative,False
na men without hands una be dey marry before,negative,na men without hands una be dey marry before,neutral,False
na so just dey top up jameson this very deyi just dey back with and dey observe unclemark for the culture jameson ambassador,positive,na so just dey top up jameson this very deyi just dey back with and dey observe unclemark for the culture jameson ambassador,negative,False
na who chop the spag after una do the artwork finish song is too bop,positive,na who chop the spag after una do the artwork finish song is too bop,negative,False
omo dis fidio go pinis my data oo iyanmii see pesin pikin,positive,omo dis fidio go pinis my data oo iyanmii see pesin pikin,negative,False
na you be that na god be that foolish boy i rush enter room go lie down on bed to make a peaceful and romantic call na so his stupid number show up,negative,na you be that na god be that foolish boy i rush enter room go lie down on bed to make a peaceful and romantic call na so his stupid number show up,positive,False
going through i don smile tire,positive,going through i don smile tire,negative,False
abeg dem don finish the walking dead,positive,abeg dem don finish the walking dead,negative,False
na wen soup hot na im you take da chop am,neutral,na wen soup hot na im you take da chop am,positive,False
bosse pain them girlcott in da mudd,positive,bosse pain them girlcott in da mudd,negative,False
you way dey talk u don go into farming make u dey sell beta prize give us,negative,you way dey talk u don go into farming make u dey sell beta prize give us,positive,False
see sweet boy wey dey make all of them vex skin like vanilla flavored chocolate ice cream,positive,see sweet boy wey dey make all of them vex skin like vanilla flavored chocolate ice cream,negative,False
may cant get any worse sapa still dey hot fulani herdsmen still dey kidnap and kill boko haram dey get more power chief of army staff crashed and died buhari still remains president to cap it all chelsea don win champions league,negative,may cant get any worse sapa still dey hot fulani herdsmen still dey kidnap and kill boko haram dey get more power chief of army staff crashed and died buhari still remains president to cap it all chelsea don win champions league,positive,False
bros this give away way de hungry u let am reach us small na xmas de fear us like dis,negative,bros this give away way de hungry u let am reach us small na xmas de fear us like dis,positive,False
even short time here na from k sef,neutral,even short time here na from k sef,negative,False
na wey smart dey make for class but when comes na dat same pikin dey dust all the,positive,na wey smart dey make for class but when comes na dat same pikin dey dust all the,neutral,False
wetin happen dem remove am totally,negative,wetin happen dem remove am totally,neutral,False
make me regret not moving you as i was moving to take my place as a marlian oh now see you seeing heaven and i gotta wait till weekend when im less busy when before na one dm wey sound like bro are you back real inside life,negative,make me regret not moving you as i was moving to take my place as a marlian oh now see you seeing heaven and i gotta wait till weekend when im less busy when before na one dm wey sound like bro are you back real inside life,positive,False
i sha know that babe and clique get bad omen for that socialiga day na why we no get along i thank god for my life to think that i wanted to offer one a lift in my uber maybe na me for dey do thread,negative,i sha know that babe and clique get bad omen for that socialiga day na why we no get along i thank god for my life to think that i wanted to offer one a lift in my uber maybe na me for dey do thread,positive,False
if i comot akure at all na ado ekiti i wan land ah nor want city stress ahbeg make small money and spend like a king now imagine when you begin to make money like highway robber,positive,if i comot akure at all na ado ekiti i wan land ah nor want city stress ahbeg make small money and spend like a king now imagine when you begin to make money like highway robber,negative,False
where una climb dey gocome back joor,negative,where una climb dey gocome back joor,positive,False
you guys should help me na my career sef dey suffer sell my own story na,negative,you guys should help me na my career sef dey suffer sell my own story na,positive,False
maami support me na see as dem dey attack only me,positive,maami support me na see as dem dey attack only me,negative,False
guy abeg where the baba dey abeg,neutral,guy abeg where the baba dey abeg,negative,False
e be like the yansh wan commot for the body,positive,e be like the yansh wan commot for the body,negative,False
sha this small money wey i dey talk took me almost months oo i still dey try recover from the expense sef,negative,sha this small money wey i dey talk took me almost months oo i still dey try recover from the expense sef,positive,False
you dey know na all those nyash wey get stretch marks dem dey like am well well,positive,you dey know na all those nyash wey get stretch marks dem dey like am well well,neutral,False
na people wey get just panties dey talk that one,negative,na people wey get just panties dey talk that one,neutral,False
u don de spread am already make i dm my details asap abi,positive,u don de spread am already make i dm my details asap abi,neutral,False
aswear o e save her name with mami m,negative,aswear o e save her name with mami m,positive,False
happy new month sef don turn sour‍️ this year get as e be,negative,happy new month sef don turn sour️ this year get as e be,positive,False
why are u deceiving us na if i dey hear this ting my hope dey faint,positive,why are u deceiving us na if i dey hear this ting my hope dey faint,negative,False
which anthem for were burnaboy album dey you dey mention fem that one na song,negative,which anthem for were burnaboy album dey you dey mention fem that one na song,positive,False
for wre u dey go church i wan go they,positive,for wre u dey go church i wan go they,negative,False
you don dey surprise tweeps with giveaways since last year see eh hold me oh,negative,you don dey surprise tweeps with giveaways since last year see eh hold me oh,positive,False
lol i dey awka na flavour event on the th i dey warm up for,positive,lol i dey awka na flavour event on the th i dey warm up for,neutral,False
she na guy b dat oooo even though him don madt,negative,she na guy b dat oooo even though him don madt,neutral,False
pills don dey market to do am since,neutral,pills don dey market to do am since,positive,False
chai from number one to number five all stunning lemme goan admire them again sef,positive,chai from number one to number five all stunning lemme goan admire them again sef,negative,False
if you see someone singing egungun be careful na express you dey go on the road abeg hold me im not stable,negative,if you see someone singing egungun be careful na express you dey go on the road abeg hold me im not stable,positive,False
so ill be respected more shebi dey say e dey bring projects and respect,positive,so ill be respected more shebi dey say e dey bring projects and respect,negative,False
loool this mute button na inside life o e go far gannnnn you mute person and e be like say them don die,positive,loool this mute button na inside life o e go far gannnnn you mute person and e be like say them don die,negative,False
yoooo your avatar dia fadaaa dem no born anybody well,positive,yoooo your avatar dia fadaaa dem no born anybody well,negative,False
dear chelsea and manchester united after the whole hustle tension heart attack draws and lost just to qualify for champions league next season if una two like go play rubbish for champions league see yet na ogun go kill una papa,neutral,dear chelsea and manchester united after the whole hustle tension heart attack draws and lost just to qualify for champions league next season if una two like go play rubbish for champions league see yet na ogun go kill una papa,negative,False
na me una dey live on im spending money small small so e no go finish now i have to take care of you too as a nursing mother with twins im just angry goats can eat their foods are expensive im going to name them bitterness and pain cause right now im bitter and in pains,positive,na me una dey live on im spending money small small so e no go finish now i have to take care of you too as a nursing mother with twins im just angry goats can eat their foods are expensive im going to name them bitterness and pain cause right now im bitter and in pains,negative,False
lmfao guy im as shook as you are na me dey find am for pm na why,neutral,lmfao guy im as shook as you are na me dey find am for pm na why,positive,False
we dey fight for a better nigeriadis werey dey here dey do him own evil work e sir we re coming for u soon,negative,we dey fight for a better nigeriadis werey dey here dey do him own evil work e sir we re coming for u soon,positive,False
dem de look us we de go odidikporikpo,positive,dem de look us we de go odidikporikpo,neutral,False
e sweet you say dem go disconnect me e go soon shock you,positive,e sweet you say dem go disconnect me e go soon shock you,negative,False
lmfao i cant hold this laughter again like guy wetin dey happen make you no go dey say what was in your mind when i booked a hotel ‍️,positive,lmfao i cant hold this laughter again like guy wetin dey happen make you no go dey say what was in your mind when i booked a hotel ️,negative,False
all the girls for uyo na model meanwhile this one said shes the most beautiful queen in nigeria i don google tire ion see her name babe dey work me facee ‍️‍️,positive,all the girls for uyo na model meanwhile this one said shes the most beautiful queen in nigeria i don google tire ion see her name babe dey work me facee ️️,negative,False
i just dey waka on my own ohh you too get wahala,negative,i just dey waka on my own ohh you too get wahala,positive,False
when i tell chelsea fans dat when kepa starts it means we are goal down already e go be like say i just dey hate let us enjoy our kepa,negative,when i tell chelsea fans dat when kepa starts it means we are goal down already e go be like say i just dey hate let us enjoy our kepa,positive,False
when na to de pursue them torres for nyash you sabi how you go know ball,negative,when na to de pursue them torres for nyash you sabi how you go know ball,positive,False
go and do your research you don travel out of your state before if nor be say we dey stan thesame mcm u for chop slap for telling me shut up you think say flavor na olamide mate for music,negative,go and do your research you don travel out of your state before if nor be say we dey stan thesame mcm u for chop slap for telling me shut up you think say flavor na olamide mate for music,positive,False
were una dey see this soap,neutral,were una dey see this soap,negative,False
ur testimony makes me dis god he z a true god he works n ways man cannot understandu were n pain bt just dat song nara brought abt ur healing lyk u said fr days nw u hve not bn n pain who has done dat no bt jesus all glory return to him alone,positive,ur testimony makes me dis god he z a true god he works n ways man cannot understandu were n pain bt just dat song nara brought abt ur healing lyk u said fr days nw u hve not bn n pain who has done dat no bt jesus all glory return to him alone,negative,False
wetin again you fit dona u wan mix cement and water,negative,wetin again you fit dona u wan mix cement and water,positive,False
youre mad see you wey you want use ₦ stake to win ₦ for bet naija who dash you crypto currencies and forex your ₦k bitcoin wey don enter dip you better go an start selling gala and get a life burna boy,negative,youre mad see you wey you want use ₦ stake to win ₦ for bet naija who dash you crypto currencies and forex your ₦k bitcoin wey don enter dip you better go an start selling gala and get a life burna boy,positive,False
lolna u sabi dat goat,negative,lolna u sabi dat goat,positive,False
i dey find where i go play snooker for this warribut this south south boys dey be professionals,positive,i dey find where i go play snooker for this warribut this south south boys dey be professionals,neutral,False
ok please its a joke o dont send account number or ask how cause me sef no know anything i never see k before sef where i wan see million,neutral,ok please its a joke o dont send account number or ask how cause me sef no know anything i never see k before sef where i wan see million,negative,False
im not new here o buh you guys have been ignoring me a lot you guys should follow me and like my tweet too na e no good o,negative,im not new here o buh you guys have been ignoring me a lot you guys should follow me and like my tweet too na e no good o,positive,False
early morning you don dey vex ehn,positive,early morning you don dey vex ehn,negative,False
i have never love anyone d way i love wizkid and davido wen i talk abt dem u gat to think if dey are related to me weird ryt anyways i still love dem like bad hazel lil gal️,positive,i have never love anyone d way i love wizkid and davido wen i talk abt dem u gat to think if dey are related to me weird ryt anyways i still love dem like bad hazel lil gal️,negative,False
closed mouth is a closed destiny o my dear talk true o you fit see your future husband for here o me i kuku wan chop rice,negative,closed mouth is a closed destiny o my dear talk true o you fit see your future husband for here o me i kuku wan chop rice,positive,False
bosss make una help the boy na,negative,bosss make una help the boy na,positive,False
ke lmao unless you wan buy the one wey dem don mark up the price i think for a series the cheapest you can get is within k but you know say you be my oga so you fit go for series tuale sir,positive,ke lmao unless you wan buy the one wey dem don mark up the price i think for a series the cheapest you can get is within k but you know say you be my oga so you fit go for series tuale sir,negative,False
dem go say na u advise them to do anything that make dem happy so u go come share in their sins like that better tell them to do godly things thatake them happy ooo,positive,dem go say na u advise them to do anything that make dem happy so u go come share in their sins like that better tell them to do godly things thatake them happy ooo,negative,False
the one wey dey do you sha,neutral,the one wey dey do you sha,negative,False
abi baba hand fit dey for the one wey die,negative,abi baba hand fit dey for the one wey die,positive,False
that place na hell na,negative,that place na hell na,neutral,False
its this client calling to come to his house that dem don cancel sit at home dey funny me you sidon for your house with your family with security personnel and want me to go collect beating,negative,its this client calling to come to his house that dem don cancel sit at home dey funny me you sidon for your house with your family with security personnel and want me to go collect beating,positive,False
and if e easy ur grand father for popular by now oo u for dey enjoy d privilege wey dem seun kuti dey enjoy,negative,and if e easy ur grand father for popular by now oo u for dey enjoy d privilege wey dem seun kuti dey enjoy,positive,False
biggi sef confirm am biggi sef get eye and him dey see am biggi sef dey regret why he succumbed to little bribe and disqualified child of grace biggi sef don finally receive sense to the benefit of the current bbn show going on,positive,biggi sef confirm am biggi sef get eye and him dey see am biggi sef dey regret why he succumbed to little bribe and disqualified child of grace biggi sef don finally receive sense to the benefit of the current bbn show going on,neutral,False
hahahahacoz e be like na wetin you been wan do oh,neutral,hahahahacoz e be like na wetin you been wan do oh,negative,False
im supposed to make sure my mum has the best of christmas like my dad always did for her popsy no dey again and i no get money,positive,im supposed to make sure my mum has the best of christmas like my dad always did for her popsy no dey again and i no get money,negative,False
no jersey my brother the way una dey ask for jersey e be like say una want make dem run out of business later in the year who knows lets keep fingers crossed i went there for danielle de rossi and i am so glad it was powerful no worry ac milan go make top,positive,no jersey my brother the way una dey ask for jersey e be like say una want make dem run out of business later in the year who knows lets keep fingers crossed i went there for danielle de rossi and i am so glad it was powerful no worry ac milan go make top,negative,False
follow follow were do you know they are going you just wan follow na u suppose dey conduct house fellowship,negative,follow follow were do you know they are going you just wan follow na u suppose dey conduct house fellowship,positive,False
everybody wey dey asaba,negative,everybody wey dey asaba,positive,False
wash the inside of your mouth properly and regularly yansh dey back e get why,positive,wash the inside of your mouth properly and regularly yansh dey back e get why,negative,False
you go follow go wen he wants that thing,positive,you go follow go wen he wants that thing,negative,False
i sew fine cream voil fabric i starch am i reach aose i baff i chop i wear my starched kaftanspray small calvin klein perfume heading out for vigil na so rain start ojo pa mi drip ti lazzdent,negative,i sew fine cream voil fabric i starch am i reach aose i baff i chop i wear my starched kaftanspray small calvin klein perfume heading out for vigil na so rain start ojo pa mi drip ti lazzdent,positive,False
